,magnitude,place
255,2.1,"62km S of Kaktovik, Alaska"
256,1.93,"13km N of Richland, Washington"
257,2.0,"63km SSE of Cantwell, Alaska"
258,2.0,"210km S of Cape Yakataga, Alaska"
259,-0.2,"3km N of Dollar Point, California"
260,1.1,"74km E of Cape Yakataga, Alaska"
261,1.6,"10km NNE of Talkeetna, Alaska"
262,1.7,"62km E of Whittier, Alaska"
263,0.3,"33km NW of Beatty, Nevada"
264,0.56,"8km W of Cobb, CA"
265,-0.2,"61km N of Pahrump, Nevada"
266,1.4,"3km SW of Houston, Alaska"
267,-0.2,"36km ENE of Beatty, Nevada"
268,1.3,"56km NNW of Yakutat, Alaska"
269,0.9,"30km S of Caliente, Nevada"
270,1.5,"39km NE of Bear Creek, Alaska"
271,1.3,"28km WSW of Hawthorne, Nevada"
272,0.9,"62km E of Sutton-Alpine, Alaska"
273,1.6,"63km WNW of Talkeetna, Alaska"
274,-0.1,"36km ENE of Beatty, Nevada"
275,4.9,"69km WSW of Kasiguncu, Indonesia"
276,2.0,"39km NNE of Redoubt Volcano, Alaska"
277,4.41,"9km NNW of Delta, B.C., MX"
278,1.42,"9km NNE of Banning, CA"
279,0.3,"38km E of Hawthorne, Nevada"
280,1.6,"93km WNW of Arctic Village, Alaska"
281,-0.4,"46km ESE of Beatty, Nevada"
282,2.5,"39km NW of Carlin, Nevada"
283,1.5,"45km WSW of Anchor Point, Alaska"
284,2.3,"54km SSW of Kaktovik, Alaska"
285,1.9,"36km SE of Holy Cross, Alaska"
286,0.38,"10km NE of Aguanga, CA"
287,0.61,"20km SW of La Quinta, CA"
288,0.39,"37km SSE of Morton, Washington"
289,2.6,"90km SSW of Kaktovik, Alaska"
290,1.5,"118km NNW of Talkeetna, Alaska"
291,3.1,Gulf of Alaska
292,1.7,"70km SSW of Kaktovik, Alaska"
293,1.7,"107km N of Arctic Village, Alaska"
294,1.4,"39km N of North Nenana, Alaska"
295,0.5,"98km NNW of Nikiski, Alaska"
296,1.6,"92km NNW of Talkeetna, Alaska"
297,0.27,"10km NE of Aguanga, CA"
298,2.6,"59km NE of King Salmon, Alaska"
299,1.59,"4km WSW of Daly City, CA"
300,1.52,"36km N of Coulee Dam, Washington"
301,1.9,"127km NNW of Arctic Village, Alaska"
302,2.5,"21km N of Healy, Alaska"
303,0.75,"4km SW of San Juan Bautista, CA"
304,2.5,"90km NNW of Kodiak Station, Alaska"
305,2.0,"104km W of Talkeetna, Alaska"
306,0.96,"8km WNW of Cobb, CA"
307,0.3,"5km SE of Mammoth Lakes, CA"
308,1.83,"5km SW of Volcano, Hawaii"
309,1.8,"127km NNW of Arctic Village, Alaska"
310,2.3,"20km NNE of Taloga, Oklahoma"
311,4.5,"58km NW of Pendolo, Indonesia"
312,4.1,"36km W of Coquimbo, Chile"
313,1.6,"10km SW of Talkeetna, Alaska"
314,0.88,"2km ESE of Home Gardens, CA"
315,1.86,"2km N of San Leandro, CA"
316,1.11,"33km SW of Ahtanum, Washington"
317,0.31,"11km ENE of Mammoth Lakes, CA"
318,2.32,"12km WNW of Pole Ojea, Puerto Rico"
319,2.36,"12km SSW of Honoka'a, Hawaii"
320,0.2,"42km ENE of Adak, Alaska"
321,0.46,"11km NE of Aguanga, CA"
322,1.13,"8km NW of The Geysers, CA"
323,1.19,"23km NE of San Ardo, CA"
324,2.01,"2km ENE of Granite Falls, Washington"
325,5.0,"55km WSW of Kasiguncu, Indonesia"
326,-0.3,"36km ENE of Beatty, Nevada"
327,0.72,"10km NE of Aguanga, CA"
328,0.41,"10km NE of Aguanga, CA"
329,0.61,"10km ENE of Mammoth Lakes, CA"
330,1.4,"22km NNE of Willow, Alaska"
331,0.3,"10km NE of Aguanga, CA"
332,1.74,"5km S of Volcano, Hawaii"
333,4.4,"51km W of Kasiguncu, Indonesia"
334,1.87,"4km SW of Volcano, Hawaii"
335,1.39,"5km SE of Mammoth Lakes, CA"
336,1.7,"58km NNE of Kobuk, Alaska"
337,1.9,"65km S of Kaktovik, Alaska"
338,0.96,"24km SE of Sweet Home, Oregon"
339,0.71,"10km NE of Aguanga, CA"
340,1.47,"15km S of Lake Nacimiento, CA"
341,4.2,"96km S of Semisopochnoi Island, Alaska"
342,1.89,"2km W of Volcano, Hawaii"
343,1.04,"20km WSW of Volcano, Hawaii"
344,1.6,"60km WNW of Skagway, Alaska"
345,1.11,"5km WNW of Junction City, Oregon"
346,1.86,"5km SE of South Lebanon, Oregon"
347,0.97,"3km N of Beaumont, CA"
348,0.9,"67km SSE of Cantwell, Alaska"
349,1.97,"1km NW of Hawthorne, CA"
350,0.82,"22km WNW of Mammoth Lakes, CA"
351,0.39,"10km NE of Aguanga, CA"
352,0.35,"22km ESE of Anza, CA"
353,-0.5,"35km ENE of Beatty, Nevada"
354,0.84,"10km WSW of Lofall, Washington"
355,0.3,"37km SSE of Goldfield, Nevada"
356,0.54,"10km NE of Aguanga, CA"
357,0.88,"6km NW of The Geysers, CA"
358,1.8,"51km W of Talkeetna, Alaska"
359,0.68,"4km W of Cobb, CA"
360,0.87,"10km NE of Aguanga, CA"
361,0.8,"71km NNW of Cape Yakataga, Alaska"
362,-0.08,"42km ENE of Adak, Alaska"
363,0.76,"1km E of San Jacinto, CA"
364,2.1,"68km SSW of Kaktovik, Alaska"
365,-0.07,"41km ENE of Adak, Alaska"
366,4.6,"52km W of Kasiguncu, Indonesia"
367,-0.51,"42km ENE of Adak, Alaska"
368,0.06,"41km ENE of Adak, Alaska"
369,-0.56,"42km ENE of Adak, Alaska"
370,-0.16,"41km ENE of Adak, Alaska"
371,0.45,"10km E of Mammoth Lakes, CA"
372,4.6,"146km S of Kokopo, Papua New Guinea"
373,0.88,"9km NE of Aguanga, CA"
374,0.51,"10km NE of Aguanga, CA"
375,0.4,"3km NW of The Geysers, CA"
376,1.9,"91km NW of Arctic Village, Alaska"
377,0.5,"7km NW of Aguanga, CA"
378,1.72,"2km ESE of Pahala, Hawaii"
379,0.43,"8km NE of Aguanga, CA"
380,1.53,"22km NNW of San Simeon, CA"
381,1.2,"4km S of Loyola, CA"
382,2.3,"15km NE of Noatak, Alaska"
383,1.05,"9km NE of Aguanga, CA"
384,0.74,"8km S of Idyllwild, CA"
385,5.0,"45km SSW of Palu, Indonesia"
386,0.68,"17km E of Kernville, CA"
387,0.5,"2km SSW of Anderson Springs, CA"
388,4.9,"22km NNE of Palu, Indonesia"
389,0.9,"3km ESE of Lake Henshaw, CA"
390,-0.41,"24km W of Dutch Harbor, Alaska"
391,0.49,"10km NE of Aguanga, CA"
392,3.18,"16km E of Kernville, CA"
393,1.73,"3km SW of Volcano, Hawaii"
394,1.81,"6km SW of Volcano, Hawaii"
395,1.74,"5km WSW of Volcano, Hawaii"
396,1.3,"100km NNW of Nikiski, Alaska"
397,2.23,"5km WSW of Volcano, Hawaii"
398,0.9,"8km NNW of Cholame, CA"
399,1.8,"57km WNW of Talkeetna, Alaska"
400,1.6,"129km NNW of Arctic Village, Alaska"
401,1.59,"11km NE of Cabazon, CA"
402,1.74,"4km SE of Pahala, Hawaii"
403,5.2,"106km NNW of Palu, Indonesia"
404,0.0,"55km ENE of Beatty, Nevada"
405,1.01,"12km NW of Parkfield, CA"
406,4.7,"89km N of Palu, Indonesia"
407,0.49,"10km NE of Aguanga, CA"
408,2.4,"67km SSW of Kaktovik, Alaska"
409,5.2,"57km S of Palu, Indonesia"
410,5.7,"103km NNW of Palu, Indonesia"
411,1.41,"23km N of Yucca Valley, CA"
412,1.57,"11km ENE of Mammoth Lakes, CA"
413,4.8,"94km N of Palu, Indonesia"
414,1.8,"66km SE of Whittier, Alaska"
415,1.5,"55km N of Valdez, Alaska"
416,2.0,"12km N of Meadow Lakes, Alaska"
417,4.7,"47km ESE of Palu, Indonesia"
418,0.5,"59km N of Pahrump, Nevada"
419,0.33,"9km ENE of Aguanga, CA"
420,5.4,"67km ENE of Sainte-Marie, Martinique"
421,0.9,"8km ESE of Valle Vista, CA"
422,5.1,"47km N of Palu, Indonesia"
423,0.84,"3km ESE of Lake Henshaw, CA"
424,0.54,"9km ENE of Aguanga, CA"
425,4.7,"54km NNE of Palu, Indonesia"
426,1.85,"4km WSW of Volcano, Hawaii"
427,1.9,"129km ENE of Unalakleet, Alaska"
428,2.3,"35km SW of Anchor Point, Alaska"
429,2.0,"37km NE of Sutton-Alpine, Alaska"
430,2.7,"134km NW of Talkeetna, Alaska"
431,0.83,"4km SW of Idyllwild, CA"
432,2.8,"72km SW of Kaktovik, Alaska"
433,2.0,"7km E of Salcha, Alaska"
434,1.36,"14km SSE of Mammoth Lakes, CA"
435,0.88,"14km SSE of Mammoth Lakes, CA"
436,1.33,"9km SSW of Scappoose, Oregon"
437,2.8,"106km N of Arctic Village, Alaska"
438,1.72,"14km SSE of Mammoth Lakes, CA"
439,0.59,"14km SSE of Mammoth Lakes, CA"
440,0.9,"36km ENE of Beatty, Nevada"
441,5.2,"68km SSE of Palu, Indonesia"
442,1.19,"8km NNW of Cholame, CA"
443,5.7,"17km NNE of Palu, Indonesia"
444,5.1,"42km N of Palu, Indonesia"
445,0.7,"8km S of Truckee, California"
446,1.67,"22km NNE of Morgan Hill, CA"
447,1.86,"5km ESE of Adjuntas, Puerto Rico"
448,5.4,"24km N of Palu, Indonesia"
449,1.86,"5km SSE of Kapaau, Hawaii"
450,0.82,"10km NE of Aguanga, CA"
451,0.69,"9km NE of Aguanga, CA"
452,5.8,"21km SSE of Palu, Indonesia"
453,0.63,"10km NE of Cabazon, CA"
454,5.7,"17km E of Palu, Indonesia"
455,5.8,"99km N of Palu, Indonesia"
456,0.49,"10km NE of Aguanga, CA"
457,3.95,"11km SSE of Kapaau, Hawaii"
458,7.5,"78km N of Palu, Indonesia"
459,4.8,"70km N of Palu, Indonesia"
460,1.64,"16km ENE of Ocotillo, CA"
461,0.17,"6km NNE of Little Lake, CA"
462,0.31,"13km NNW of West Yellowstone, Montana"
463,4.6,"191km SSE of Sinabang, Indonesia"
464,0.55,"6km NW of The Geysers, CA"
465,1.97,"16km ENE of Ocotillo, CA"
466,0.55,"6km W of Cobb, CA"
467,-0.5,"36km ENE of Beatty, Nevada"
468,1.79,"3km SSE of Pahala, Hawaii"
469,2.0,"78km SSW of Kaktovik, Alaska"
470,2.0,"23km S of Ester, Alaska"
471,1.03,"1km SW of Lake Henshaw, CA"
472,2.37,"3km N of Maricao, Puerto Rico"
473,3.2,"300km SE of Kodiak, Alaska"
474,1.6,"128km NW of Arctic Village, Alaska"
475,1.8,"3km SSE of Pahala, Hawaii"
476,1.83,"2km SSW of Pahala, Hawaii"
477,-0.1,"56km ENE of Beatty, Nevada"
478,2.1,"83km NNE of Kobuk, Alaska"
479,5.0,"60km N of Palu, Indonesia"
480,2.0,"50km SSW of Kaktovik, Alaska"
481,1.8,"4km SE of Pahala, Hawaii"
482,1.47,"4km S of Greenback, Tennessee"
483,-0.11,"42km ENE of Adak, Alaska"
484,1.8,"48km N of Chitina, Alaska"
485,-0.09,"10km E of Mammoth Lakes, CA"
486,-0.04,"10km NE of Aguanga, CA"
487,0.64,"9km NE of Aguanga, CA"
488,0.85,"25km SSW of Mammoth Lakes, CA"
489,2.0,"63km E of Whittier, Alaska"
490,1.1,"7km N of Truckee, California"
491,0.42,"10km NE of Aguanga, CA"
492,0.73,"10km NE of Aguanga, CA"
493,0.12,"9km ENE of Aguanga, CA"
494,3.1,"260km SE of Kodiak, Alaska"
495,-0.3,"36km ENE of Beatty, Nevada"
496,0.83,"23km N of Yucca Valley, CA"
497,0.3,"34km ENE of Beatty, Nevada"
498,1.5,"77km SSW of Kobuk, Alaska"
499,-0.3,"34km ENE of Beatty, Nevada"
500,4.9,"57km N of Palu, Indonesia"
501,4.9,"199km SSW of Ust'-Kamchatsk Staryy, Russia"
502,0.29,"10km NE of Aguanga, CA"
503,0.41,"2km WNW of Cabazon, CA"
504,-0.1,"17km WNW of Fernley, Nevada"
505,1.44,"9km NE of Aguanga, CA"
506,2.9,"13km SE of Blanchard, Oklahoma"
507,5.6,Indian Ocean Triple Junction
508,1.86,"1km SE of Lajas, Puerto Rico"
509,5.4,"77km NNE of Palu, Indonesia"
510,0.57,"10km WNW of Cobb, CA"
511,6.1,"55km NNW of Palu, Indonesia"
512,0.55,"7km NW of The Geysers, CA"
513,1.83,"4km ESE of Pahala, Hawaii"
514,0.92,"11km WNW of The Geysers, CA"
515,1.81,"6km WSW of Volcano, Hawaii"
516,1.82,"5km WSW of Volcano, Hawaii"
517,0.3,"9km NE of Aguanga, CA"
518,1.35,"10km W of Coalville, Utah"
519,1.74,"4km SE of Pahala, Hawaii"
520,1.06,"17km SW of Thousand Oaks, CA"
521,1.59,"16km SW of Thousand Oaks, CA"
522,0.93,"20km ESE of Anza, CA"
523,0.27,"7km NW of The Geysers, CA"
524,1.6,"13km ENE of Y, Alaska"
525,1.4,"131km E of Chitina, Alaska"
526,0.9,"30km E of Yerington, Nevada"
527,3.2,"266km W of Bandon, Oregon"
528,2.02,"9km NE of Aguanga, CA"
529,5.5,Indian Ocean Triple Junction
530,-0.3,"17km WNW of Fernley, Nevada"
531,4.9,Indian Ocean Triple Junction
532,1.53,"3km ENE of San German, Puerto Rico"
533,1.36,"5km E of Pole Ojea, Puerto Rico"
534,1.4,"56km NW of Ester, Alaska"
535,-0.1,"8km WNW of Fernley, Nevada"
536,4.4,"13km NW of Palmi, Italy"
537,3.05,"61km N of Isabela, Puerto Rico"
538,0.29,"22km NE of Beaver, Utah"
539,0.73,"13km ESE of Centerville, Utah"
540,-0.4,"55km ENE of Beatty, Nevada"
541,2.96,"56km N of Isabela, Puerto Rico"
542,2.0,"89km NNW of Arctic Village, Alaska"
543,2.0,"59km SE of Cantwell, Alaska"
544,0.4,"12km ESE of Mammoth Lakes, CA"
545,0.74,"39km W of Tanaga Volcano, Alaska"
546,0.81,"9km NE of Aguanga, CA"
547,0.57,"11km ESE of Mammoth Lakes, CA"
548,1.25,"34km W of Lima, Montana"
549,0.62,"9km NE of Aguanga, CA"
550,1.29,"41km WSW of Tanaga Volcano, Alaska"
551,0.92,"10km NE of Aguanga, CA"
552,0.55,"8km ENE of Aguanga, CA"
553,1.41,"6km W of Cobb, CA"
554,1.11,"11km ESE of Lincoln, Montana"
555,-0.3,"56km ENE of Beatty, Nevada"
556,1.8,"120km W of Fort Yukon, Alaska"
557,2.3,"70km SSW of Kaktovik, Alaska"
558,1.24,"4km NNW of Almanor, CA"
559,4.5,"Off the coast of Aisen, Chile"
560,1.08,"13km E of Centerville, Utah"
561,0.42,"9km NE of Aguanga, CA"
562,3.0,"293km ESE of Kodiak, Alaska"
563,0.7,"21km SSW of La Quinta, CA"
564,0.6,"44km N of Spanish Springs, Nevada"
565,0.4,"47km W of Tanaga Volcano, Alaska"
566,2.6,"68km SSW of Kaktovik, Alaska"
567,0.17,"9km E of Mammoth Lakes, CA"
568,2.55,"67km NNW of San Antonio, Puerto Rico"
569,1.71,"12km SW of Wellington, Kansas"
570,1.02,"8km E of Yucaipa, CA"
571,2.32,"22km ENE of Honaunau-Napoopoo, Hawaii"
572,0.59,"8km S of Idyllwild, CA"
573,3.4,"71km SW of Kaktovik, Alaska"
