,magnitude,place
5301,2.0,"87km NNW of Arctic Village, Alaska"
5302,4.4,Prince Edward Islands region
5303,1.6,"122km NW of Arctic Village, Alaska"
5304,4.0,"273km N of Ndoi Island, Fiji"
5305,0.97,"1km NNW of The Geysers, CA"
5306,1.1,"36km WSW of Anchor Point, Alaska"
5307,0.6,"12km SE of Smith Valley, Nevada"
5308,1.3,"113km NW of Arctic Village, Alaska"
5309,1.2,"12km SE of Smith Valley, Nevada"
5310,1.31,"9km SSE of Lincoln, Montana"
5311,0.31,"4km SE of Mammoth Lakes, CA"
5312,0.8,"8km N of Truckee, California"
5313,1.5,"137km NW of Arctic Village, Alaska"
5314,0.87,"2km ENE of Home Gardens, CA"
5315,1.2,"14km NNW of Meadow Lakes, Alaska"
5316,1.9,"122km SE of Prudhoe Bay, Alaska"
5317,0.4,"36km ESE of Hawthorne, Nevada"
5318,2.04,"7km WNW of Mayaguez, Puerto Rico"
5319,0.36,"9km NE of Aguanga, CA"
5320,1.26,"7km NW of The Geysers, CA"
5321,0.85,"9km NE of Aguanga, CA"
5322,1.8,"55km SSW of Kaktovik, Alaska"
5323,0.9,"82km ENE of Cape Yakataga, Alaska"
5324,0.4,"15km E of Downieville, California"
5325,0.22,"8km ENE of Mammoth Lakes, CA"
5326,1.6,"40km W of Anchor Point, Alaska"
5327,2.6,"103km NW of Arctic Village, Alaska"
5328,0.55,"9km NE of Aguanga, CA"
5329,0.36,"4km E of Mammoth Lakes, CA"
5330,1.4,"131km WNW of Arctic Village, Alaska"
5331,1.35,"27km SSW of Ocotillo Wells, CA"
5332,2.33,"13km E of Ocotillo Wells, CA"
5333,1.9,"126km NW of Arctic Village, Alaska"
5334,0.69,"9km NE of Aguanga, CA"
5335,0.39,"4km SE of Mammoth Lakes, CA"
5336,1.6,"24km NNE of Badger, Alaska"
5337,0.96,"4km WSW of Devore, CA"
5338,2.36,"17km SSE of Pahala, Hawaii"
5339,2.87,"4km NNW of Pinnacles, CA"
5340,1.66,"10km N of Thermalito, CA"
5341,1.45,"7km SSW of Mojave, CA"
5342,1.5,"122km SSE of Prudhoe Bay, Alaska"
5343,0.5,"66km SW of Beatty, Nevada"
5344,1.8,"130km NW of Arctic Village, Alaska"
5345,1.23,"14km SSW of Gonzales, CA"
5346,0.95,"3km N of Fruit Heights, Utah"
5347,1.4,"13km NNE of San Simeon, CA"
5348,0.6,"17km ENE of Hawthorne, Nevada"
5349,1.6,"71km SSW of Kaktovik, Alaska"
5350,1.35,"13km N of Cabazon, CA"
5351,3.0,"11km NW of Cherokee, Oklahoma"
5352,2.5,"26km SSE of Sterling, Alaska"
5353,1.07,"5km E of Gold Bar, Washington"
5354,1.2,"9km NNW of West Yellowstone, Montana"
5355,1.9,"131km NW of Arctic Village, Alaska"
5356,1.1,"49km W of Valdez, Alaska"
5357,0.72,"10km SSW of Benton City, Washington"
5358,5.3,South of the Kermadec Islands
5359,2.24,"15km SE of Volcano, Hawaii"
5360,2.6,"15km E of Marion, Kansas"
5361,1.2,"97km NNW of Arctic Village, Alaska"
5362,1.17,"3km SSW of Loyola, CA"
5363,2.4,"85km NW of Arctic Village, Alaska"
5364,1.26,"7km ENE of Lebanon, Oregon"
5365,2.05,"22km WSW of New Idria, CA"
5366,0.6,"9km NE of Aguanga, CA"
5367,4.1,"29km NNE of Sarpol-e Zahab, Iran"
5368,2.1,"17km ENE of Hawthorne, Nevada"
5369,2.0,"94km NNW of Arctic Village, Alaska"
5370,5.0,"162km N of Tobelo, Indonesia"
5371,2.1,"60km SSW of Kaktovik, Alaska"
5372,1.2,"75km SSW of Kobuk, Alaska"
5373,0.7,"16km ESE of Dillon, Montana"
5374,2.3,"100km NNW of Arctic Village, Alaska"
5375,0.94,"8km ESE of Prunedale, CA"
5376,2.7,"97km NNW of Arctic Village, Alaska"
5377,1.8,"84km NW of Arctic Village, Alaska"
5378,1.5,"116km SSE of Prudhoe Bay, Alaska"
5379,0.56,"4km WSW of Volcano, Hawaii"
5380,1.7,"31km W of Healy, Alaska"
5381,2.03,"9km SSE of Indios, Puerto Rico"
5382,2.1,"89km NNW of Arctic Village, Alaska"
5383,0.6,"162km S of Tanana, Alaska"
5384,3.17,"32km N of Punta Cana, Dominican Republic"
5385,2.3,"52km SSW of Kaktovik, Alaska"
5386,2.2,"61km SSW of Kaktovik, Alaska"
5387,0.63,"6km NE of Black Point-Green Point, CA"
5388,2.1,"68km SSW of Kaktovik, Alaska"
5389,2.0,"102km NW of Arctic Village, Alaska"
5390,1.0,"73km E of New Allakaket, Alaska"
5391,2.0,"97km NW of Arctic Village, Alaska"
5392,0.66,"4km WNW of Cabazon, CA"
5393,1.87,"2km SSW of Maricao, Puerto Rico"
5394,3.14,"96km NE of Punta Cana, Dominican Republic"
5395,1.34,"26km ENE of Pine Valley, CA"
5396,0.3,"35km E of Lazy Mountain, Alaska"
5397,2.49,"10km SSW of Leilani Estates, Hawaii"
5398,2.66,"9km S of Leilani Estates, Hawaii"
5399,0.39,"12km ESE of Coso Junction, CA"
5400,1.8,"104km NW of Arctic Village, Alaska"
5401,1.85,"12km E of Coso Junction, CA"
5402,2.2,"69km S of Kaktovik, Alaska"
5403,1.99,"15km SW of Old Faithful Geyser, Wyoming"
5404,3.0,"29km N of Anchor Point, Alaska"
5405,1.23,"3km S of Monte Grande, Puerto Rico"
5406,1.7,"99km NW of Arctic Village, Alaska"
5407,1.0,"132km ENE of Cape Yakataga, Alaska"
5408,1.32,"12km E of Coso Junction, CA"
5409,1.5,"127km NNW of Arctic Village, Alaska"
5410,1.3,"106km NW of Arctic Village, Alaska"
5411,1.3,"27km WNW of Anchor Point, Alaska"
5412,1.5,"110km W of Cantwell, Alaska"
5413,1.6,"114km NNW of Arctic Village, Alaska"
5414,1.57,"3km ENE of Ridgely, Tennessee"
5415,1.26,"28km E of Tennant, CA"
5416,0.64,"10km SW of Julian, CA"
5417,1.3,"64km NE of Eielson Air Force Base, Alaska"
5418,1.86,"11km SW of Leilani Estates, Hawaii"
5419,1.2,"58km E of Cape Yakataga, Alaska"
5420,0.9,"63km W of Valdez, Alaska"
5421,0.87,"11km SSW of Idyllwild, CA"
5422,1.6,"101km NW of Arctic Village, Alaska"
5423,1.2,"16km SW of Valdez, Alaska"
5424,4.5,"10km SW of Juliaca, Peru"
5425,1.3,"20km SE of Arvin, CA"
5426,1.27,"18km SE of Arvin, CA"
5427,2.9,"61km SSW of Kaktovik, Alaska"
5428,0.22,"8km ENE of Mammoth Lakes, CA"
5429,2.52,"3km N of Cidra, Puerto Rico"
5430,5.2,Southern East Pacific Rise
5431,1.4,"65km NNE of Yakutat, Alaska"
5432,1.14,"2km NE of Pinnacles, CA"
5433,0.63,"5km SE of Mentone, CA"
5434,1.4,"52km ESE of Sutton-Alpine, Alaska"
5435,2.06,"21km W of Petrolia, CA"
5436,1.89,"11km NNE of Kalaoa, Hawaii"
5437,1.4,"47km SSW of Cantwell, Alaska"
5438,1.9,"22km WNW of Cantwell, Alaska"
5439,2.28,"4km NNW of Delta, B.C., MX"
5440,1.7,"62km S of Cantwell, Alaska"
5441,0.63,"10km NE of Aguanga, CA"
5442,2.5,"112km SSW of King Salmon, Alaska"
5443,0.28,"9km NE of Aguanga, CA"
5444,1.8,"82km WNW of Arctic Village, Alaska"
5445,-0.32,"15km NNE of Mineral, CA"
5446,1.2,"65km WSW of Anchor Point, Alaska"
5447,1.6,"131km WNW of Arctic Village, Alaska"
5448,0.4,"14km NW of Stagecoach, Nevada"
5449,2.4,"8km NNE of Harper, Kansas"
5450,0.25,"7km SE of Mammoth Lakes, CA"
5451,0.23,"9km NE of Aguanga, CA"
5452,1.24,"10km N of Big Bear Lake, CA"
5453,0.78,"8km NW of Parkfield, CA"
5454,3.13,"26km ESE of Road Town, British Virgin Islands"
5455,0.93,"0km ENE of Poulsbo, Washington"
5456,2.01,"8km SSE of Leilani Estates, Hawaii"
5457,1.1,"55km NW of Cape Yakataga, Alaska"
5458,1.85,"5km SW of Volcano, Hawaii"
5459,1.5,"159km E of Chitina, Alaska"
5460,1.13,"7km S of Pearblossum, CA"
5461,1.8,"66km SW of Kaktovik, Alaska"
5462,1.4,"41km ENE of Sutton-Alpine, Alaska"
5463,2.1,"48km SSW of Kaktovik, Alaska"
5464,2.36,"4km SSW of Volcano, Hawaii"
5465,2.25,"7km S of Leilani Estates, Hawaii"
5466,1.6,"59km W of Anchor Point, Alaska"
5467,2.9,"63km SSW of Kaktovik, Alaska"
5468,1.1,"53km NNE of Dixon Lane-Meadow Creek, California"
5469,0.8,"27km ESE of Hawthorne, Nevada"
5470,1.3,"29km WNW of Whittier, Alaska"
5471,0.28,"9km NE of Aguanga, CA"
5472,4.9,Southern Mid-Atlantic Ridge
5473,-0.3,"23km N of Beatty, Nevada"
5474,3.1,"10km SSE of Banos, Ecuador"
5475,1.8,"39km SW of Kaktovik, Alaska"
5476,2.2,"134km NW of Arctic Village, Alaska"
5477,1.5,"62km ENE of Cape Yakataga, Alaska"
5478,1.7,"33km NW of Willow, Alaska"
5479,2.4,"29km N of Anchor Point, Alaska"
5480,3.1,"8km NNE of Harper, Kansas"
5481,1.7,"31km NE of Sutton-Alpine, Alaska"
5482,1.11,"11km ENE of Old Faithful Geyser, Wyoming"
5483,2.74,"96km N of Road Town, British Virgin Islands"
5484,0.29,"10km NE of Aguanga, CA"
5485,1.3,"68km W of Valdez, Alaska"
5486,1.6,"129km NW of Arctic Village, Alaska"
5487,0.1,"25km ESE of Sutton-Alpine, Alaska"
5488,0.23,"13km ESE of Hyrum, Utah"
5489,3.13,"10km E of La Romana, Dominican Republic"
5490,1.8,"57km SSW of Kaktovik, Alaska"
5491,2.57,"2km ESE of McCormick, South Carolina"
5492,4.8,East of the North Island of New Zealand
5493,0.45,"9km NE of Aguanga, CA"
5494,1.3,"110km WNW of Talkeetna, Alaska"
5495,1.7,"58km W of Cantwell, Alaska"
5496,2.08,"11km SSW of Potala Pastillo, Puerto Rico"
5497,1.7,"9km N of Kettleman City, CA"
5498,2.0,"15km SSW of Guanica, Puerto Rico"
5499,2.5,"48km SSE of Deltana, Alaska"
5500,0.54,"9km NE of Aguanga, CA"
5501,1.2,"94km WNW of Skagway, Alaska"
5502,0.33,"12km ENE of Mammoth Lakes, CA"
5503,-0.12,"13km E of Pablo, Montana"
5504,1.77,"8km ENE of Pahala, Hawaii"
5505,0.72,"26km ENE of Pine Valley, CA"
5506,0.68,"8km NE of Aguanga, CA"
5507,0.31,"8km NE of Aguanga, CA"
5508,0.42,"10km SW of Anza, CA"
5509,1.52,"16km SW of Enterprise, Utah"
5510,1.17,"16km ESE of Julian, CA"
5511,3.0,"69km SSW of Kaktovik, Alaska"
5512,1.63,"7km WNW of Westmorland, CA"
5513,0.92,"12km NE of Ocotillo Wells, CA"
5514,0.08,"13km E of Mammoth Lakes, CA"
5515,0.5,"36km ESE of Hawthorne, Nevada"
5516,1.3,"35km E of Hawthorne, Nevada"
5517,1.8,"131km NNW of Arctic Village, Alaska"
5518,1.38,"4km S of Ridgemark, CA"
5519,0.47,"30km ENE of Amboy, Washington"
5520,0.7,"35km ENE of Beatty, Nevada"
5521,1.6,"12km ENE of Downieville, California"
5522,0.62,"8km ENE of Aguanga, CA"
5523,0.28,"8km ENE of Aguanga, CA"
5524,1.68,"23km SW of Los Banos, CA"
5525,1.54,"9km SSE of Tallaboa, Puerto Rico"
5526,1.5,"61km ESE of Whittier, Alaska"
5527,1.88,"9km SSW of Leilani Estates, Hawaii"
5528,1.1,"85km ESE of Cordova, Alaska"
5529,2.1,"133km NE of Arctic Village, Alaska"
5530,1.66,"10km SSE of Tallaboa, Puerto Rico"
5531,0.74,"9km NE of Aguanga, CA"
5532,-0.02,"45km ESE of Bigfork, Montana"
5533,1.05,"18km SW of Toms Place, CA"
5534,1.55,"6km WNW of The Geysers, CA"
5535,0.65,"9km NE of Aguanga, CA"
5536,0.58,"10km NE of Aguanga, CA"
5537,0.29,"5km E of Mammoth Lakes, CA"
5538,0.25,"16km NW of Parkfield, CA"
5539,0.68,"30km ENE of Amboy, Washington"
5540,2.0,"5km E of Pahala, Hawaii"
5541,1.7,"117km NNW of Arctic Village, Alaska"
5542,1.9,"77km W of Cantwell, Alaska"
5543,1.79,"20km ENE of Honaunau-Napoopoo, Hawaii"
5544,4.5,"7km NNW of Agat Village, Guam"
5545,0.7,"28km SW of Hawthorne, Nevada"
5546,1.51,"6km SW of Marina del Rey, CA"
5547,3.27,"121km NNE of Punta Cana, Dominican Republic"
5548,0.57,"7km WNW of Bayview-Montalvin, CA"
5549,0.77,"10km NE of Aguanga, CA"
5550,1.7,"35km SSE of Kaktovik, Alaska"
5551,1.3,"11km SE of Smith Valley, Nevada"
5552,1.8,"108km NW of Arctic Village, Alaska"
5553,1.8,"125km NW of Arctic Village, Alaska"
5554,1.8,"124km NNW of Arctic Village, Alaska"
5555,2.1,"134km NW of Arctic Village, Alaska"
5556,0.5,"9km NE of Aguanga, CA"
5557,1.6,"111km NNW of Arctic Village, Alaska"
5558,1.8,"84km E of Old Iliamna, Alaska"
5559,1.82,"22km E of Honaunau-Napoopoo, Hawaii"
5560,0.79,"9km ENE of Aguanga, CA"
5561,0.37,"30km ENE of Amboy, Washington"
5562,1.3,"150km ESE of McGrath, Alaska"
5563,2.84,"13km S of Progreso, B.C., MX"
5564,2.5,"31km N of Anchor Point, Alaska"
5565,3.23,"66km N of Charlotte Amalie, U.S. Virgin Islands"
5566,0.93,"16km SE of Lincoln, Montana"
5567,1.33,"17km SW of Toms Place, CA"
5568,1.1,"53km ENE of Bishop, California"
5569,2.84,"51km N of Brenas, Puerto Rico"
5570,0.87,"12km NNE of Borrego Springs, CA"
5571,1.04,"9km NE of Aguanga, CA"
5572,2.3,"2km ENE of Langston, Oklahoma"
5573,1.4,"72km N of Tonopah, Nevada"
5574,1.1,"9km SSW of Idyllwild, CA"
5575,0.5,"16km SSW of Ester, Alaska"
5576,0.85,"6km NNW of Langford, Canada"
5577,3.3,"33km NE of Nikiski, Alaska"
5578,1.6,"134km NW of Arctic Village, Alaska"
5579,1.34,"42km WSW of Fillmore, Utah"
5580,1.01,"9km NE of Aguanga, CA"
5581,2.0,"0km NW of Pahala, Hawaii"
5582,2.4,"114km NE of Chignik Lake, Alaska"
5583,1.75,"42km WSW of Fillmore, Utah"
5584,5.2,Southwest Indian Ridge
5585,3.0,"112km WSW of Gustavus, Alaska"
5586,1.4,"12km SE of Smith Valley, Nevada"
5587,1.6,"140km ESE of McGrath, Alaska"
5588,1.0,"27km N of North Nenana, Alaska"
5589,5.4,"73km NW of Rabaul, Papua New Guinea"
5590,1.6,"101km SSE of King Salmon, Alaska"
5591,0.78,"13km ESE of Mammoth Lakes, CA"
5592,2.0,"9km WNW of Ely, Nevada"
5593,0.41,"9km NE of Aguanga, CA"
5594,1.1,"27km ESE of Healy, Alaska"
5595,0.72,"23km NNW of Borrego Springs, CA"
5596,1.9,"74km SW of Redoubt Volcano, Alaska"
5597,0.14,"9km NE of Aguanga, CA"
5598,0.4,"9km NE of Aguanga, CA"
5599,1.3,"90km NW of Talkeetna, Alaska"
5600,1.89,"19km NNE of Pahala, Hawaii"
5601,1.93,"3km E of Princeton, Canada"
5602,1.8,"129km NW of Arctic Village, Alaska"
5603,2.8,"135km NW of Arctic Village, Alaska"
5604,2.6,"136km NW of Arctic Village, Alaska"
5605,0.84,"21km S of Mammoth Lakes, CA"
5606,2.8,"63km SSW of Kodiak Station, Alaska"
5607,4.2,"108km SW of Uyuni, Bolivia"
5608,0.81,"9km NE of Aguanga, CA"
5609,0.49,"9km NE of Aguanga, CA"
5610,2.7,"22km SE of King Salmon, Alaska"
5611,1.4,"9km NE of Aguanga, CA"
5612,2.53,"8km NE of Aguanga, CA"
5613,1.73,"22km S of Mammoth Lakes, CA"
5614,1.73,"7km E of Pahala, Hawaii"
5615,3.9,"90km SSW of Tocopilla, Chile"
5616,1.6,"97km NNW of Nikiski, Alaska"
5617,0.6,"74km W of Anchor Point, Alaska"
5618,3.1,"9km S of Volcano, Hawaii"
5619,2.15,"23km S of Volcano, Hawaii"
5620,1.21,"5km NW of Ocotillo, CA"
5621,2.1,"131km NW of Arctic Village, Alaska"
5622,1.2,"21km NE of Fairbanks, Alaska"
5623,2.9,"230km SE of Kodiak, Alaska"
5624,0.44,"35km SSE of Morton, Washington"
5625,2.1,"130km NW of Arctic Village, Alaska"
5626,1.73,"5km WSW of Volcano, Hawaii"
5627,1.9,"123km NW of Arctic Village, Alaska"
5628,4.0,"88km W of Illapel, Chile"
5629,1.9,"130km NW of Arctic Village, Alaska"
5630,1.85,"5km WSW of Volcano, Hawaii"
5631,0.63,"15km W of Toms Place, CA"
5632,1.89,"5km WSW of Volcano, Hawaii"
5633,3.0,"136km NW of Arctic Village, Alaska"
5634,1.9,"130km NW of Arctic Village, Alaska"
5635,1.5,"100km NNE of College, Alaska"
5636,1.66,"6km NNW of Lakeside, CA"
5637,2.5,"127km NW of Arctic Village, Alaska"
5638,1.5,"70km WNW of Valdez, Alaska"
5639,1.9,"99km NNW of Arctic Village, Alaska"
5640,4.4,"293km N of Ndoi Island, Fiji"
5641,0.74,"20km NNW of Amboy, Washington"
5642,1.38,"15km SE of Lincoln, Montana"
5643,1.4,"69km WNW of Talkeetna, Alaska"
5644,1.42,"7km ESE of Prunedale, CA"
5645,1.3,"56km N of Sutton-Alpine, Alaska"
5646,2.1,"129km NW of Arctic Village, Alaska"
5647,1.05,"9km E of Alum Rock, CA"
5648,4.1,"35km SW of OEluedeniz, Turkey"
5649,2.6,"82km W of Larsen Bay, Alaska"
5650,4.7,"47km SW of Molibagu, Indonesia"
5651,3.5,"91km WNW of Gustavus, Alaska"
5652,4.4,Fiji region
5653,4.0,"52km SSE of Tanaga Volcano, Alaska"
5654,1.8,"107km NNW of Arctic Village, Alaska"
5655,0.47,"14km SSE of Mammoth Lakes, CA"
5656,1.0,"163km NE of Cape Yakataga, Alaska"
5657,1.31,"6km SE of Home Gardens, CA"
5658,2.28,"22km WSW of Ferndale, CA"
5659,2.0,"67km SSW of Kaktovik, Alaska"
5660,0.9,"60km NW of Ester, Alaska"
5661,1.29,"10km ENE of Pinnacles, CA"
5662,4.4,"33km E of Tomakomai, Japan"
5663,1.9,"129km NW of Arctic Village, Alaska"
5664,0.2,"21km ESE of Anza, CA"
5665,0.91,"17km W of Morongo Valley, CA"
5666,1.45,"14km SE of Lincoln, Montana"
5667,2.7,"275km ESE of Kodiak, Alaska"
5668,1.8,"21km ENE of Honaunau-Napoopoo, Hawaii"
5669,0.9,"12km ESE of Smith Valley, Nevada"
5670,1.7,"113km NW of Arctic Village, Alaska"
5671,1.91,"1km ESE of The Geysers, CA"
5672,4.7,"8km SSE of Conchagua, El Salvador"
5673,1.12,"19km SW of La Quinta, CA"
5674,1.2,"8km ENE of Aguanga, CA"
5675,0.6,"10km SE of Smith Valley, Nevada"
5676,3.45,"89km SE of Estacion Coahuila, B.C., MX"
5677,2.0,"119km NNW of Arctic Village, Alaska"
5678,1.38,"6km NW of The Geysers, CA"
5679,1.78,"11km ESE of Caldwell, Kansas"
5680,1.6,"16km ESE of Seward, Alaska"
5681,0.3,"37km NW of North Nenana, Alaska"
5682,0.56,"10km NE of Aguanga, CA"
5683,0.37,"14km N of Borrego Springs, CA"
5684,1.87,"6km N of Ponce, Puerto Rico"
5685,1.6,"2km SE of Nikiski, Alaska"
5686,1.7,"113km NW of Arctic Village, Alaska"
5687,0.63,"10km NE of Aguanga, CA"
5688,0.17,"28km NNW of Packwood, Washington"
5689,2.1,"105km NW of Arctic Village, Alaska"
5690,0.7,"47km NE of Talkeetna, Alaska"
5691,1.82,"5km WSW of Volcano, Hawaii"
5692,1.2,"78km NW of Talkeetna, Alaska"
5693,0.6,"16km ESE of Julian, CA"
5694,2.53,"36km ENE of Miches, Dominican Republic"
5695,1.28,"13km WNW of Hoback, Wyoming"
5696,1.3,"64km NE of Cordova, Alaska"
5697,2.8,"84km WSW of Cantwell, Alaska"
5698,0.23,"5km NE of Mammoth Lakes, CA"
5699,1.85,"8km ENE of Pahala, Hawaii"
5700,1.87,"6km NW of Puerto Real, Puerto Rico"
5701,1.71,"13km WNW of Pole Ojea, Puerto Rico"
5702,0.46,"8km NE of Aguanga, CA"
5703,1.0,"11km SE of Smith Valley, Nevada"
5704,0.98,"18km ENE of Thousand Palms, CA"
5705,1.79,"3km SW of Volcano, Hawaii"
5706,1.78,"4km WSW of Volcano, Hawaii"
5707,1.4,"81km E of Cape Yakataga, Alaska"
5708,1.69,"8km WSW of Puerto Real, Puerto Rico"
5709,1.5,"67km WNW of Talkeetna, Alaska"
5710,1.1,"8km SSW of Anchorage, Alaska"
5711,-0.3,"59km ENE of Beatty, Nevada"
5712,0.3,"70km E of Beatty, Nevada"
5713,0.42,"9km NE of Aguanga, CA"
5714,0.6,"60km WSW of Valdez, Alaska"
5715,0.33,"9km NE of Aguanga, CA"
5716,0.86,"15km NNE of West Yellowstone, Montana"
5717,1.94,"16km SW of Leilani Estates, Hawaii"
5718,0.7,"56km E of Beatty, Nevada"
5719,2.24,"16km W of Volcano, Hawaii"
5720,5.2,"20km ENE of Shazhou, China"
5721,1.9,"126km NW of Arctic Village, Alaska"
5722,1.2,"36km S of Redoubt Volcano, Alaska"
5723,0.84,"9km NE of Aguanga, CA"
5724,1.6,"71km N of Yakutat, Alaska"
5725,-0.1,"44km ESE of Beatty, Nevada"
5726,0.64,"9km NE of Aguanga, CA"
5727,3.11,"100km NNE of Punta Cana, Dominican Republic"
5728,1.25,"3km N of La Verne, CA"
5729,1.78,"11km SSE of Volcano, Hawaii"
5730,0.49,"10km NE of Aguanga, CA"
5731,1.7,"121km NW of Arctic Village, Alaska"
5732,1.1,"103km NNW of Old Iliamna, Alaska"
5733,0.0,"47km SSW of Beatty, Nevada"
5734,2.7,"283km SE of Kodiak, Alaska"
5735,0.7,"136km NE of Cape Yakataga, Alaska"
5736,4.3,"24km SSE of Conchagua, El Salvador"
5737,1.4,"67km NNE of Yakutat, Alaska"
5738,0.38,"9km SE of Desert Aire, Washington"
5739,1.69,"3km WSW of Flying Hills, Pennsylvania"
5740,2.14,"9km NW of Puerto Real, Puerto Rico"
5741,1.21,"5km SSE of Parkfield, CA"
5742,1.2,"44km WNW of Valdez, Alaska"
5743,0.8,"18km ESE of Anza, CA"
5744,1.04,"11km ENE of Mammoth Lakes, CA"
5745,1.02,"4km WNW of Cabazon, CA"
5746,4.5,"26km ENE of Tomakomai, Japan"
5747,1.6,"33km W of Valdez, Alaska"
5748,1.03,"8km ENE of Aguanga, CA"
5749,0.42,"10km ENE of Aguanga, CA"
5750,1.29,"7km N of Seattle, Washington"
5751,1.9,"118km NNW of Arctic Village, Alaska"
5752,1.41,"13km ESE of Lincoln, Montana"
5753,1.3,"41km ESE of Whittier, Alaska"
5754,2.1,"64km SW of Kaktovik, Alaska"
5755,0.35,"8km NE of Aguanga, CA"
5756,1.73,"7km SW of Volcano, Hawaii"
5757,0.87,"26km ENE of Pine Valley, CA"
5758,0.4,"39km NW of Cape Yakataga, Alaska"
5759,0.77,"11km N of Borrego Springs, CA"
5760,1.86,"1km WSW of Shillington, Pennsylvania"
5761,0.78,"14km WSW of Toms Place, CA"
5762,1.7,"87km SW of Delta Junction, Alaska"
5763,5.1,"151km W of Kuripan, Indonesia"
5764,1.09,"4km SSE of Lake Henshaw, CA"
5765,0.4,"50km NNW of Cape Yakataga, Alaska"
5766,2.15,"43km WSW of Fillmore, Utah"
5767,1.2,"52km NNW of Cape Yakataga, Alaska"
5768,-0.2,"35km SSE of Goldfield, Nevada"
5769,1.2,"35km NW of Whitefish, Montana"
5770,1.19,"15km ESE of Olancha, CA"
5771,5.3,"24km SW of La Paz Centro, Nicaragua"
5772,1.76,"42km WSW of Fillmore, Utah"
5773,1.14,"44km NNE of Milford, Utah"
5774,5.2,"66km SE of Tekirova, Turkey"
5775,2.4,"71km NE of Talkeetna, Alaska"
5776,1.6,"8km ENE of Healy, Alaska"
5777,1.98,"44km NNE of Milford, Utah"
5778,1.88,"43km SW of Fillmore, Utah"
5779,2.31,"44km WSW of Fillmore, Utah"
5780,3.25,"102km NNE of Punta Cana, Dominican Republic"
5781,1.5,"114km NNW of Talkeetna, Alaska"
5782,4.7,"128km N of Okha, Russia"
5783,3.05,"91km NE of Miches, Dominican Republic"
5784,1.11,"43km WSW of Fillmore, Utah"
5785,1.9,"10km WNW of Puerto Real, Puerto Rico"
5786,3.82,"43km WSW of Fillmore, Utah"
5787,1.7,"38km NE of Petersburg, Alaska"
5788,0.62,"8km ENE of Aguanga, CA"
5789,1.46,"3km ENE of Ridgely, Tennessee"
5790,0.94,"48km SE of Park Valley, Utah"
5791,1.4,"47km W of Willow, Alaska"
5792,2.3,"124km NNW of Arctic Village, Alaska"
5793,2.8,"52km WSW of Talkeetna, Alaska"
5794,5.3,"7km NE of Sapatgram, India"
5795,1.3,"32km SSE of Goldfield, Nevada"
5796,0.9,"29km WSW of Hawthorne, Nevada"
5797,0.04,"18km ENE of West Yellowstone, Montana"
5798,2.5,"1km WSW of Timpson, Texas"
5799,1.5,"99km NW of Talkeetna, Alaska"
5800,3.78,"48km N of Charlotte Amalie, U.S. Virgin Islands"
5801,1.65,"43km SW of Fillmore, Utah"
5802,2.69,"12km SSE of Volcano, Hawaii"
5803,1.49,"28km N of Kernville, CA"
5804,0.95,"8km NW of Kernville, CA"
5805,1.04,"23km WNW of Montpelier, Idaho"
5806,1.5,"87km W of Anchor Point, Alaska"
5807,2.89,"73km SSE of Emajagua, Puerto Rico"
5808,1.28,"23km NW of Friday Harbor, Washington"
5809,1.0,"29km NNW of Anchor Point, Alaska"
5810,0.2,"51km ENE of Beatty, Nevada"
5811,1.75,"9km NW of Tiptonville, Tennessee"
5812,1.59,"2km WNW of Cobb, CA"
5813,1.31,"21km WNW of Alder Springs, CA"
5814,2.14,"7km WSW of Mayaguez, Puerto Rico"
5815,4.8,"112km SSW of Tres Picos, Mexico"
5816,2.2,"140km ENE of Anaktuvuk Pass, Alaska"
5817,2.23,"6km SW of Volcano, Hawaii"
5818,2.66,"10km NNW of Puerto Real, Puerto Rico"
5819,0.5,"69km NNE of Pahrump, Nevada"
5820,2.2,"142km ENE of Anaktuvuk Pass, Alaska"
5821,0.58,"18km NW of Ludlow, CA"
5822,1.9,"63km WNW of Talkeetna, Alaska"
5823,0.5,"36km NE of Cape Yakataga, Alaska"
5824,1.6,"97km WSW of Cantwell, Alaska"
5825,0.56,"9km ENE of Aguanga, CA"
5826,0.27,"24km WSW of Othello, Washington"
5827,2.83,"115km NNE of Punta Cana, Dominican Republic"
5828,1.11,"22km ENE of San Ardo, CA"
5829,1.1,"40km WSW of Anchor Point, Alaska"
5830,0.6,"10km ENE of Aguanga, CA"
5831,1.12,"22km NW of Parkfield, CA"
5832,3.14,"65km NNE of Punta Cana, Dominican Republic"
5833,1.75,"5km SW of Volcano, Hawaii"
5834,2.0,"143km ENE of Anaktuvuk Pass, Alaska"
5835,2.1,"132km WNW of Arctic Village, Alaska"
5836,1.8,"133km WNW of Arctic Village, Alaska"
5837,2.6,"92km SSW of Kaktovik, Alaska"
5838,1.22,"9km NE of Aguanga, CA"
5839,2.1,"101km NNW of Arctic Village, Alaska"
5840,1.4,"82km NW of Yakutat, Alaska"
5841,5.0,"169km ENE of Kuril'sk, Russia"
5842,2.4,"8km SSE of Fernley, Nevada"
5843,1.7,"102km NNW of Arctic Village, Alaska"
5844,0.94,"8km NE of Aguanga, CA"
5845,3.24,"103km NNE of Punta Cana, Dominican Republic"
5846,1.93,"7km E of Pole Ojea, Puerto Rico"
5847,0.31,"11km SW of Anza, CA"
5848,1.1,"14km WNW of Anchor Point, Alaska"
