,active,code,firstName,hasMorePages,id,lastName,number,officialDenomination,salutationLetter,salutationTitle,updated
1981,False,,Jakob,,2624,Lüthy,,,,,2015-05-17T21:18:19Z
1982,False,,Jakob,,2625,Lutz,,,,,2015-05-17T21:18:19Z
1983,False,,Jakob Konrad,,2626,Lutz,,,,,2015-05-17T21:18:19Z
1984,False,,Joh. Gebhard,,2627,Lutz,,,,,2015-05-17T21:18:19Z
1985,False,,Gregor,,2628,Lützelschwab,,,,,2015-05-17T21:18:19Z
1986,False,,Giacomo,,2629,Luvini,,,,,2015-05-17T21:18:19Z
1987,False,,Johann,,2630,Lymann,,,,,2015-05-17T21:18:19Z
1988,False,,Albert,,2631,Maag,,Maag,,,2015-05-17T21:18:19Z
1989,False,,Albert,,2632,Mächler,,,,,2015-05-17T21:18:19Z
1990,False,,Emil,,2633,Mäder,,,,,2015-05-17T21:18:19Z
1991,False,,Rudolf,,2634,Mäder,,,,,2015-05-17T21:18:19Z
1992,False,,Eugen,,2635,Madeux,,,,,2015-05-17T21:18:19Z
1993,False,PER_2108_,Herbert,,137,Maeder,2108.0,Maeder,,,2017-01-30T10:42:29Z
1994,False,,Massimiliano,,2636,Magatti,,,,,2015-05-17T21:18:19Z
1995,False,,Carlo,,2637,Maggini,,,,,2015-05-17T21:18:19Z
1996,False,PER_1032_,Armand,,586,Magnin,1032.0,Magnin Armand,,,2015-05-17T21:18:19Z
1997,False,PER_3038_,Anne,,4136,Mahrer,3038.0,Mahrer,,,2015-05-17T21:18:19Z
1998,False,PER_3022_,Thomas,,4117,Maier,3022.0,Maier Thomas,,,2015-05-17T21:18:19Z
1999,False,,Marius,True,2638,Maillard,,,,,2015-05-17T21:18:19Z
2000,False,PER_2513_,Pierre-Yves,,491,Maillard,2513.0,Maillard Pierre-Yves,,,2015-05-17T21:18:19Z
2001,False,,Paul,,2639,Maillefer,,,,,2015-05-17T21:18:19Z
2002,True,PER_2738_,Jacques-André,,4018,Maire,2738.0,Maire Jacques-André,,,2015-10-27T16:58:54Z
2003,False,PER_2359_,Theo,,275,Maissen,2359.0,Maissen,,,2015-05-17T21:18:19Z
2004,False,PER_2109_,Jean-Philippe,,138,Maitre,2109.0,Maitre Jean-Philippe,,,2015-05-17T21:18:19Z
2005,False,,Yves,,2640,Maitre,,,,,2015-05-17T21:18:19Z
2006,False,PER_2699_,Peter,,3896,Malama,2699.0,Malama,,,2015-05-17T21:18:19Z
2007,False,,Albert,,2641,Malche,,,,,2015-05-17T21:18:19Z
2008,False,,Fritz,,2642,Malzacher,,,,,2015-05-17T21:18:19Z
2009,False,PER_2307_,Philippe,,139,Mamie,2307.0,Mamie,,,2015-05-17T21:18:19Z
2010,False,,Leo,,2643,Mann,,,,,2015-05-17T21:18:19Z
2011,False,,Romeo,,2644,Manzoni,,,,,2015-05-17T21:18:19Z
2012,False,,Otto,,2645,Maraini,,,,,2015-05-17T21:18:19Z
2013,False,,Friedrich,,2646,Marbach,,,,,2015-05-17T21:18:19Z
2014,True,PER_3083_,Géraldine,,4183,Marchand-Balet,3083.0,Marchand-Balet,,,2018-05-15T16:52:05Z
2015,False,PER_2514_,Fernand,,492,Mariétan,2514.0,Mariétan,,,2015-05-17T21:18:19Z
2016,True,PER_2614_,Christa,,1139,Markwalder,2614.0,Markwalder,,,2018-06-18T14:12:25Z
2017,False,,Louis-Auguste,,2647,Marmier,,,,,2015-05-17T21:18:19Z
2018,True,PER_2726_,Ada,,3923,Marra,2726.0,Marra,,,2015-11-24T15:14:37Z
2019,False,,Christophe J.,,2648,Marro,,,,,2015-05-17T21:18:19Z
2020,False,,Fritz,,2649,Marthaler,,,,,2015-05-17T21:18:19Z
2021,False,,Eduard,,2650,Marti,,,,,2015-05-17T21:18:19Z
2022,True,PER_3084_,Min Li,,4197,Marti,3084.0,Marti,,,2016-12-06T15:58:15Z
2023,False,PER_2308_,Werner,,140,Marti,2308.0,Marti Werner,,,2015-05-17T21:18:19Z
2024,False,PER_1033_,Werner,,587,Martignoni,1033.0,Martignoni,,,2015-05-17T21:18:19Z
2025,False,,André,,2651,Martin,,,,,2015-05-17T21:18:19Z
2026,False,,Auguste-Edouard-Frédéric,,2652,Martin,,,,,2015-05-17T21:18:19Z
2027,False,PER_2110_,Jacques,,141,Martin,2110.0,Martin Jacques,,,2015-05-17T21:18:19Z
2028,False,,Jules,,2653,Martin,,,,,2015-05-17T21:18:19Z
2029,False,,Louis Alex.,,2654,Martin,,,,,2015-05-17T21:18:19Z
2030,False,PER_2111_,Paul-René,,749,Martin,2111.0,Martin Paul-René,,,2015-05-17T21:18:19Z
2031,True,PER_3085_,Magdalena,,4167,Martullo-Blocher,3085.0,Martullo,,,2018-01-23T08:52:49Z
2032,False,PER_2441_,Dick,,374,Marty,2441.0,Marty Dick,,,2015-05-17T21:18:19Z
2033,False,PER_2563_,Barbara,,551,Marty Kälin,2563.0,Marty Kälin,,,2015-05-17T21:18:19Z
2034,False,PER_1091_,Ruth,,642,Mascarin-Bircher,1091.0,Mascarin-Bircher,,,2015-05-17T21:18:19Z
2035,False,,Francesco,,2655,Masina,,,,,2015-05-17T21:18:19Z
2036,False,PER_2225_,Franco,,787,Masoni,2225.0,Masoni,,,2015-05-17T21:18:19Z
2037,False,PER_2309_,Flavio,,142,Maspoli,2309.0,Maspoli Flavio,,,2015-05-17T21:18:19Z
2038,False,,Franco,,2656,Maspoli,,,,,2015-05-17T21:18:19Z
2039,True,PER_3034_,Nadine,,4130,Masshardt,3034.0,Masshardt,,,2017-02-20T09:03:03Z
2040,False,,Eugène,,2657,Masson,,,,,2015-05-17T21:18:19Z
2041,False,PER_2112_,Claude,,750,Massy,2112.0,Massy Claude,,,2015-10-12T10:17:38Z
2042,False,PER_2515_,Hans Ulrich,,493,Mathys,2515.0,Mathys,,,2015-05-17T21:18:19Z
2043,False,PER_1077_,Franco,,631,Matossi,1077.0,Matossi,,,2015-05-17T21:18:19Z
2044,False,,Johannn Jakob,,2658,Matt,,,,,2015-05-17T21:18:19Z
2045,True,PER_3046_,Thomas,,4144,Matter,3046.0,Matter,,,2017-11-20T08:40:41Z
2046,False,,Charles-Jules,,2659,Matthey,,,,,2015-05-17T21:18:19Z
2047,False,PER_2113_,Francis,,143,Matthey,2113.0,Matthey Francis,,,2015-05-17T21:18:19Z
2048,False,,Jules,,2660,Matthey,,,,,2018-02-20T16:34:20Z
2049,False,PER_2114_,Rolf,True,144,Mauch,2114.0,Mauch Rolf,,,2015-05-17T21:18:19Z
2050,False,PER_2115_,Ursula,,145,Mauch,2115.0,Mauch Ursula,,,2015-05-17T21:18:19Z
2051,False,,Albert-Edouard,,2661,Maunoir,,,,,2015-05-17T21:18:19Z
2052,False,,Fritz,,2662,Maurer,,,,,2015-05-17T21:18:19Z
2053,False,PER_2310_,Ueli,,146,Maurer,2310.0,Maurer Ueli,,,2015-05-17T21:18:19Z
2054,False,,René,,2663,Mauroux,,,,,2015-05-17T21:18:19Z
2055,True,PER_2405_,Liliane,,341,Maury Pasquier,2405.0,Maury Pasquier,,,2018-01-10T16:41:14Z
2056,False,,Oscar,,1217,Mayer,,Mayer,,,2015-05-17T21:18:19Z
2057,False,,G.-François-Isaac,,2664,Mayor,,,,,2015-05-17T21:18:19Z
2058,False,,Jules,,2665,Mayor,,,,,2015-05-17T21:18:19Z
2059,False,,Louis,,2666,Mayor,,Mayor Louis,,,2015-05-17T21:18:19Z
2060,False,,Louis-Ernest,,2667,Mayor,,Mayor Louis-Ernest,,,2015-05-17T21:18:19Z
2061,True,PER_3086_,Lisa,,4186,Mazzone,3086.0,Mazzone,,,2018-07-02T08:07:55Z
2062,False,,Christian,,2668,Meier,,,,,2015-05-17T21:18:19Z
2063,False,,Ernst,,2669,Meier,,,,,2015-05-17T21:18:19Z
2064,False,,Fritz,,1218,Meier,,Meier Fritz,,,2015-05-17T21:18:19Z
2065,False,,Gottlieb,,2670,Meier,,,,,2015-05-17T21:18:19Z
2066,False,PER_2226_,Hans,,788,Meier,2226.0,Meier Hans,,,2015-05-17T21:18:19Z
2067,False,PER_2117_,Hans,,147,Meier,2117.0,Meier Hans,,,2015-05-17T21:18:19Z
2068,False,,Jean,,2671,Meier,,,,,2015-05-17T21:18:19Z
2069,False,PER_2227_,Josi J.,,148,Meier,2227.0,Meier Josi,,,2015-05-17T21:18:19Z
2070,False,PER_1127_,Kaspar,,678,Meier,1127.0,,,,2015-05-17T21:18:19Z
