,0
225,"Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft"
226,"Allianz ""Stopp Atom"""
227,SVP/AUNS
228,Schweizerischer Gewerbeverband (SGV)
229,Erklärung von Bern / Konsumentenschutz
230,RK-S
231,Staatssekretariat für Bildung und Forschung (SBF) - ab 1.1.2013 SBFI
232,Internationale Balzan Stiftung
233,"Überparteiliches Komitee ""Ja zur Unternehmenssteuerreform II"""
234,"Komitee ""Ja zu einem gewerbefreundlichen Steuersystem"""
235,6. Schweizer Hausbau- und Energie-Messe
236,Kornhausforum / Michael von Graffenried
237,Erklärung von Bern
238,Schweizerische Gemeinnützige Gesellschaft (SGG)
239,"KMU-Komitee ""Ja zur Unternehmenssteuerreform II"""
240,Eidg. Büro für die Gleichstellung von Frau und Mann (EBG) / Staatssekretariat für Wirtschaft (SECO)
241,abgesagt
242,Eidgenössisches Nuklearsicherheitsinspektorat
243,Konferenz der Kantonalen Justiz- und Polizeidirektorinnen und -direktoren (KKJPD)
244,Koordinationskonferenz
245,"a. Bundesrat Adolf Ogi, Sonderberater des UNO-Generalsekretärs für Sport im Dienst von Entwicklung und Frieden"
246,Swissaid
247,Projektorganisation Öffentliche Hand UEFA EURO 2008
248,"Komitee ""Nein zu ungerechten Steuern"""
249,Schweizerische Vereinigung Eltern gegen Drogen
250,Elektrizitätskommission ElCom
251,Komitee für einen sicheren Luftraum
252,EUROPAN / Bundesamt für Wohnungswesen (BWO)
253,"Stiftung ""Zukunft für Schweizer Fahrende"""
254,Plattform zu den Sans papiers
255,Arbeitsgemeinschaft für Religionsfreiheit (AGR) der Schweizerischen Evangelischen Allianz (SEA)
256,HELVETIA NOSTRA
257,"vips Vereinigung Pharmafirmen in der Schweiz, Interpharma, SGCI Chemie Pharma Schweiz"
258,Staatssekretariat für Migration
259,Interessengemeinschaft Erstsprachen
260,"Überparteiliches Komitee ""Verein Klima-Initiative"""
261,Schweizerischer Gewerkschaftsbund (SGB) und SUISSECULTURE
262,Alliance Sud
263,Schweizerischer Verband freier Berufe (SR Schwaller)
264,Avenir Suisse
265,Stiftung Risiko-Dialog
266,"Komitee ""Verbandsbeschwerde: Schluss mit der Verhinderungspolitik"""
267,toggenburg.ch | kompetenzzentrum | 9630 wattwil
268,"Verein ""Nein zur Initiative des Zürcher Freisinns"""
269,IGA SOS Racisme
270,APK-S
271,APK-N
