,0
241,Schweizerischer Gewerbeverband (SGV)
242,Erklärung von Bern / Konsumentenschutz
243,RK-S
244,Staatssekretariat für Bildung und Forschung (SBF) - ab 1.1.2013 SBFI
245,Internationale Balzan Stiftung
246,"Überparteiliches Komitee ""Ja zur Unternehmenssteuerreform II"""
247,"Komitee ""Ja zu einem gewerbefreundlichen Steuersystem"""
248,6. Schweizer Hausbau- und Energie-Messe
249,Kornhausforum / Michael von Graffenried
250,Erklärung von Bern
251,Schweizerische Gemeinnützige Gesellschaft (SGG)
252,"KMU-Komitee ""Ja zur Unternehmenssteuerreform II"""
253,Eidg. Büro für die Gleichstellung von Frau und Mann (EBG) / Staatssekretariat für Wirtschaft (SECO)
254,abgesagt
255,Eidgenössisches Nuklearsicherheitsinspektorat
256,Konferenz der Kantonalen Justiz- und Polizeidirektorinnen und -direktoren (KKJPD)
257,Koordinationskonferenz
258,"a. Bundesrat Adolf Ogi, Sonderberater des UNO-Generalsekretärs für Sport im Dienst von Entwicklung und Frieden"
259,Swissaid
260,Projektorganisation Öffentliche Hand UEFA EURO 2008
261,"Komitee ""Nein zu ungerechten Steuern"""
262,Eidg. Kommission gegen Rassismus EKR
263,Schweizerische Vereinigung Eltern gegen Drogen
264,Elektrizitätskommission ElCom
265,Komitee für einen sicheren Luftraum
266,EUROPAN / Bundesamt für Wohnungswesen (BWO)
267,"Stiftung ""Zukunft für Schweizer Fahrende"""
268,Plattform zu den Sans papiers
269,Arbeitsgemeinschaft für Religionsfreiheit (AGR) der Schweizerischen Evangelischen Allianz (SEA)
270,HELVETIA NOSTRA
271,"vips Vereinigung Pharmafirmen in der Schweiz, Interpharma, SGCI Chemie Pharma Schweiz"
272,Staatssekretariat für Migration
273,Interessengemeinschaft Erstsprachen
274,"Überparteiliches Komitee ""Verein Klima-Initiative"""
275,Schweizerischer Gewerkschaftsbund (SGB) und SUISSECULTURE
276,Alliance Sud
277,Schweizerischer Verband freier Berufe (SR Schwaller)
278,Avenir Suisse
279,Stiftung Risiko-Dialog
280,"Komitee ""Verbandsbeschwerde: Schluss mit der Verhinderungspolitik"""
281,toggenburg.ch | kompetenzzentrum | 9630 wattwil
282,"Verein ""Nein zur Initiative des Zürcher Freisinns"""
283,IGA SOS Racisme
284,APK-S
285,APK-N
286,Cinésuisse und Polit-Forum des Bundes
287,Schweizerische UNESCO-Kommission
288,"Pro Natura, SVS/BirdLife Schweiz, WWF mit NR Maya Graf"
289,NR Otto Ineichen und Verein kmuNEXT
290,IG Innenstadtverkehr
291,"Initiativkomitee ""Für Geldspiele im Dienste des Gemeinwohls"""
292,Liberale Partei der Schweiz (LPS)
293,Frauenbündnis gegen die nationalrätlichen Kommissionsbeschlüsse zur 11. AHV-Revision
294,Bundesamt für Landestopografie (swisstopo)
295,"Initiativkomitee ""Staatsverträge vors Volk"""
296,NR Paul Rechsteiner
297,Eidgenössische Ethikkommission für die Biotechnologie im Ausserhumanbereich
298,Die Post
299,Gesundheitsdirektorenkonferenz und Finanzdirektorenkonferenz
300,Solar Impulse
301,Staatssekretariat für Bildung und Forschung (SBF) / ETH-Rat
302,"SGB, SEV, Unia"
303,Schweizerische Bundesbahnen (SBB)
304,Überparteiliches Komitee gegen die Maulkorb-Initiative
305,NR Ada Marra
306,NR Christoph Mörgeli
307,"SR Simonetta Sommaruga, SR Alain Fournier , NR Ruedi Rechsteiner u.a."
308,Projektorganisation Öffentliche Hand UEFA EURO 2008 (POÖH)
309,Überparteiliches Komitee für mehr Qualität in der Gesundheitsversorgung
310,Touring Club Schweiz (TCS)
311,"Überparteiliches Komitee ""Nein zum Betäubungsmittelgesetz"""
312,Eidgenössisches Justiz und Polizeidepartment (EJPD) / Die Post
313,Schweizerische Herzstiftung
314,Zentrum für Sozialwissenschaften an der Universität Lausanne (FORS)
315,"Überparteiliches Komitee ""Für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni"""
316,Überparteiliches Komitee gegen die Zweiklassenmedizin
317,"Komitee ""Nein zu unfairen Einbürgerungen"""
318,SRG SRR idée suisse
319,Komitee gegen eine Zweiklassenmedizin
320,Legislaturplanungskommission (LPK-S)
321,Bundesamt für Kultur (BAK) / Stiftung Bibliomedia Schweiz / Schweizerische Institut für Kinder- und Jugendmedien SIKJM
322,Swissolar
323,Überparteiliches Komitee CVP/EVP/glp gegen die Einbürgerungsinitiative
324,Eidgenössisches Departement für auswärtige Angelegenheiten (EDA) / Eidgenössisches Departement des Innern (EDI)
325,Nationalrat Otto Ineichen
326,Überparteiliches Komitee für das Verbot von Streubomben - Parlamentarische Initiative Dupraz
327,Parlamentarische Gruppe Sport und Bundesamt für Sport BASPO
328,Liberales Komitee -  Nein zur Einbürgeruns-Initiative
329,Stiftung für Konsumentenschutz (SKS)
330,hörenschweiz
331,Grüne Schweiz/Les Verts
332,Travail.Suisse / Katholischer Frauenbund / Evangelischer Frauenbund / Männer.ch
333,Schweizer Presserat
334,"Überparteiliches Komitee ""für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni"""
335,Forschungsanstalt Agroscope Liebefeld-Posieux ALP
336,Plattform zu den Sans-Papiers
337,Eidg. Alkoholverwaltung (bis 12.2017)
338,Kampagne Euro 08 gegen Frauenhandel
339,vpod / SGB
340,VCS Verkehrs-Club der Schweiz
341,SPS / Bündnis gegen neue Kampfflugzeuge
342,Eidgenössisches Institut für Geistiges Eigentum
343,NR Louis Schelbert und NR Ruedi Aeschbacher
344,ch Stiftung für eingenössische Zusammenarbeit
345,Gesamtprojektkoordination Bund UEFA EURO 2008
346,SP Schweiz / Second@s Plus Schweiz
347,Rudolf Strahm
348,JCVP
349,Pro Jugendschutz gegen Drogenkriminalität
350,"Trägerverein ""Ja zur Landschaftsinitiative"""
351,Generalsekretariat VBS in Zusammenarbeit mit der Gesamtprojektkoordination Öffentliche Hand UEFA EURO 2008
352,Egerkinger Komitee
353,Allianz Energetische Gebäudesanierung - JETZT! (AEG-J)
354,Gesellschaft Schweizerisch Tibetische Freundschaft / Verein Tibeter Jugend in Europa / Tibeter Gemeinschaft Schweiz Liechtenstein / Tibetische Frauenorganisation
355,Gesundheitsdirektorenkonferenz (GDK)
356,"""Aktion Medienfreiheit"""
357,santésuisse
358,Fonds Landschaft Schweiz FLS
359,Union der Freisinnigen und Liberalen
360,"Verein ""Openair auf dem Bundesplatz - eine Schweiz mit Herz"" / Eidg. Büro für die Gleichstellung von Menschen mit Behinderungen"
361,Verein Grundrechte
362,"Komitee der Mitte "" JA zum bilateralen Weg"""
363,Verein grundrechte.ch
364,"Schweizerischer Gewerbeverband SGV, Schweizerischer Arbeitgeberverband SAV, Centre Patronal"
365,CVP
366,Schweizerischer Nationalfonds SNF
367,Kaufmännischer Verband Schweiz
368,Netzwerk für sozial verantwortliche Wirtschaft NSW / Verein für soziale Gerechtigkeit
369,Solar Agentur Schweiz
370,Schweizerische Nationalbibliothek
371,Gesundheitsdirektorenkonferenz (GDK) und Verbindung der Schweizer Ärztinnen und Ärzte (FMH)
372,"SWISSAID, Schweizerischer Bauernverband, Greeenpeace, Brot für Alle"
373,Direktion für Entwicklung und Zusammenarbeit (DEZA) / Staatssekretariat für Wirtschaft (SECO)
374,Preisüberwachung / Eidgenössische Kommunikationskommission (ComCom) / Wettbewerbskommission (WEKO)
375,Bundesamt für Raumentwicklung
376,IG modernes Fernsehen
377,"Überparteiliches Komitee ""Oui à la sécurité routière, Oui à la 3e voie autoroutière entre Lausanne et Genève"""
378,Urner Landrat
379,JUSO Schweiz
380,Liberale Partei der Schweiz LPS
381,"Komitee ""Ja zum Betäubungsmittelgesetz"""
382,Amnesty International / Verband Schweizerischer Polizei-Beamter / Schweizerischer Eisenbahn- und Verkehrspersonal-Verband / Ebenrain-Konferenz
383,NR Geri Müller/Initiativkomitee
384,Eidg. Finanzmarktaufsicht FINMA
385,"Swissmedic, Schweizerisches Heilmittelinstitut"
386,Tierschutzbund Zürich
387,Frauenbündnis AHV/SGB
388,FDP Schweiz/LPS
389,Komitee gegen die Abschaffung des Verbandsbeschwerderechts c/o GPS
390,"CVP, FDP, SVP, glp und LPS"
391,CVP/EVP
392,NR Otto Ineichen
393,Schweizerischer Nationalfonds
394,Referendumskomitee HarmoS Kt. Bern
395,Überparteiliches Komitee SP GP CSP EVP
396,Überparteiliches Komitee SP FDP CVP GLP GP EVP CSP
397,NR Rudolf Rechsteiner
398,Junge CVP Schweiz
399,Travail.Suisse und KV Schweiz
400,"jevp Schweiz, JSVP Schweiz, JEDU Kanton Bern"
401,Komitee der Mitte CVP-EVP-glp
402,Integrationsbüro EDA/EVD (IB) - ab 1.1.2013  im EDA
403,Interessengemeinschaft Agrarstandort Schweiz IGAS
404,Schweizerische Nationalbank
405,UREK-S
406,Parlamentarische Gruppe Schweiz-Armenien
407,Käfigturm-ein Polit-Forum des Bundes + Nationales Forschungsprogramm NFP 56
408,Junge SVP Schweiz
409,GS-VBS in Zusammenarbeit mit der Projektorganisation Öffentliche Hand UEFA EURO 2008
410,"Schweizerische Sicherheitsuntersuchungsstelle SUST, Bereich Aviatik"
411,Bundesanwaltschaft
412,"Überparteiliches Komitee ""NEIN zu neuen Milliardenlasten für die AHV"""
413,SGB
414,Fastenopfer/Brot für alle
415,NR Dominique de Buman
416,Westschweizer Regierungskonferenz (WRK)
417,Parlamentsdienste und BBL
418,BA für Umwelt und BA für Landwirtschaft
419,Schweizerische Arbeitsgemeinschaft der Jugendverbände
420,"SR Erika Forster-Vannini und Dr. Willy Oggier, Gesundheitsökonomische Beratungen"
421,"SP, CVP, FDP und Grüne"
422,Polit-Forum des Bundes Käfigturm
423,SGB-Verbände
424,Bundesamt für Justiz
425,Schweizerische Akademie der Geistes- und Sozialwissenschaften (SAGW)
426,"EJPD, EDA, EVD"
427,"FDP Schweiz, LPS"
428,"Wirtschaftskomitee ""Für die Bilateralen - Personenfreizügigkeit JA"""
429,"Swisselectricity, Bobst, Nestle Schweiz und Oerlikon Batteries"
430,SBG/Travail.Suisse
